PRODUCT_CODE,PRODUCT_NAME,PRODUCT_PRICE,DISCOUNT_PRICE,DISCOUNT_RATE,PRODUCT_LINK
139,ETUDE Sebum Soak Pore Primer 30g,18.00,12.60,30% OFF,https://jolse.com/product/etude-sebum-soak-pore-primer-30g/75308/category/4722/display/1/
140,Parnell Cicamanu Serum Cushion 15g,30.00,16.50,45% OFF,https://jolse.com/product/parnell-cicamanu-serum-cushion-15g/75002/category/4722/display/1/
141,KAINE Glow Melting Lip Balm 3.7g,14.00,6.99,50% OFF,https://jolse.com/product/kaine-glow-melting-lip-balm-37g/70848/category/4722/display/1/
142,ETUDE Glow Fixing Tint 3.8g,14.00,11.90,15% OFF,https://jolse.com/product/etude-glow-fixing-tint-38g/68899/category/4722/display/1/
143,ETUDE Ginger Sugar Essential Lip Balm 15ml,7.00,5.95,15% OFF,https://jolse.com/product/etude-ginger-sugar-essential-lip-balm-15ml/67076/category/4722/display/1/
144,thim refreshing glow lip balm 2.3g,19.00,7.19,62% OFF,https://jolse.com/product/thim-refreshing-glow-lip-balm-23g/66092/category/4722/display/1/
145,rom&nd Glasting Melting Balm 3.5g #Original,13.99,0,0,https://jolse.com/product/romnd-glasting-melting-balm-35g-original/62351/category/4722/display/1/
146,HOLIKA HOLIKA My Fave Pieces eye shadow 1.8g,15.00,4.50,70% OFF,https://jolse.com/product/holika-holika-my-fave-pieces-eye-shadow-18g/61785/category/4722/display/1/
147,numbuzin No.2 Goodbye Redness Derma Tone Up 50ml,24.00,19.20,20% OFF,https://jolse.com/product/numbuzin-no2-goodbye-redness-derma-tone-up-50ml/58767/category/4722/display/1/
148,2aN Long Lash Mascara 7.5g,19.00,5.89,69% OFF,https://jolse.com/product/2an-long-lash-mascara-75g/55986/category/4722/display/1/
149,FRUDIA Blueberry Hydrating Honey Lip Balm 10g,9.00,8.55,5% OFF,https://jolse.com/product/frudia-blueberry-hydrating-honey-lip-balm-10g/55751/category/4722/display/1/
150,numbuzin No.3 Porcelain Base-skip Tone Up Beige 50ml,24.00,19.20,20% OFF,https://jolse.com/product/numbuzin-no3-porcelain-base-skip-tone-up-beige-50ml/50738/category/4722/display/1/
151,rom&nd Han All Fix Mascara 7g,14.99,0,0,https://jolse.com/product/romnd-han-all-fix-mascara-7g/42860/category/4722/display/1/
152,rom&nd Juicy Lasting Tint Riped Fruit 5.5g,13.99,0,0,https://jolse.com/product/romnd-juicy-lasting-tint-riped-fruit-55g/40374/category/4722/display/1/
153,MISSHA M BB Boomer 40ml,15.16,9.40,38% OFF,https://jolse.com/product/missha-m-bb-boomer-40ml/39351/category/4722/display/1/
154,ISA KNOX Phyto Pro-Retinol Extreme Cover Cushion Refill 15g,19.24,13.47,30% OFF,https://jolse.com/product/isa-knox-phyto-pro-retinol-extreme-cover-cushion-refill-15g/28256/category/4722/display/1/
155,MISSHA Men's Cure Grooming Sense Lip Balm 3.7g,10.66,4.26,60% OFF,https://jolse.com/product/missha-mens-cure-grooming-sense-lip-balm-37g/28147/category/4722/display/1/
156,RiRe Quick Hair Cushion 14g,12.00,9.12,24% OFF,https://jolse.com/product/rire-quick-hair-cushion-14g/26918/category/4722/display/1/
157,skin79 Super+ Beblesh Balm SPF50+ PA+++ 40ml #Orange,27.06,13.99,48% OFF,https://jolse.com/product/skin79-super-beblesh-balm-spf50-pa-40ml-orange/20688/category/4722/display/1/
158,MISSHA Ultra Powerproof Pencil Eyeliner 0.2g,10.66,5.33,50% OFF,https://jolse.com/product/missha-ultra-powerproof-pencil-eyeliner-02g/20155/category/4722/display/1/
159,MISSHA Modern Shadow Glitter Prism 2g,11.57,4.63,60% OFF,https://jolse.com/product/missha-modern-shadow-glitter-prism-2g/18319/category/4722/display/1/
160,Petitfee Super Volume Lip Oil 3g,18.00,6.12,66% OFF,https://jolse.com/product/petitfee-super-volume-lip-oil-3g/18150/category/4722/display/1/
161,Elizavecca Milky Piggy BB Cream 50ml,18.00,9.36,48% OFF,https://jolse.com/product/elizavecca-milky-piggy-bb-cream-50ml/8379/category/4722/display/1/
